,mean (x-bar),sd,min,median,max,skewness,excess kurtosis
kd,1.0725923490439255,0.6175838959428983,0.0,0.95,14.0,3.557221533660325,36.69126395043322
hs_pct,0.3620739596789601,0.15160284270833466,0.0,0.3548387096774194,1.0,0.30583877554216365,0.37505450989650946
adr,79.33159457411641,23.15953370553146,9.391304347826088,77.8,264.85714285714283,0.563558267577474,1.192153980872071
opening_rate,0.1016103885590336,0.0764600036156416,0.0,0.0909090909090909,0.6190476190476191,1.0025754327365255,1.6143375814551932
utility_pr,1.0428095732392566,0.6152930357126906,0.0,1.0,3.647058823529412,0.5033408987240723,-0.1699901437702569
loadout_value,2285.779406702706,468.7560636650994,463.1578947368421,2258.8267847260654,4414.981855883878,0.38153222971469736,0.8180059069925716
