archetype,mean_kd,mean_hs,var_kd,var_hs,cov,corr
Star Fragger,1.8355021389856454,0.3710729821770248,0.7203217002395036,0.018336587246185133,0.0009281344260492424,0.008075852492891038
Utility Support,1.1831966417974664,0.3660413855368768,0.15146239108455856,0.014623059830121061,0.00317467608685652,0.06745713434682689
Heavy-Weapon Anchor,0.8512564800084281,0.24377698963481179,0.10209215242134105,0.011269031254316787,0.00547192349351809,0.1613245806282021
Budget Headshotter,0.7074538261478989,0.4777354069112577,0.07332523183407139,0.017459230521075432,0.0030462047153698157,0.08513728843589877
