,mean_diff,sd_diff,cohens_dz,t,p_bonf,std_discriminant_weight
kd,0.5418758832449974,0.5211320277680632,1.039805374399607,35.490737205280865,8.278426397654569e-187,0.4067333153161319
hs_pct,-0.009269659601769436,0.09999291717771172,-0.0927031620179157,-3.1641532562535137,0.009573817689809031,0.03752396927998563
adr,11.757088576718683,12.234150512836294,0.9610057162843412,32.80113968358149,7.1738496040109e-167,0.10900360401308076
opening_rate,0.029141457746467446,0.04550479481117094,0.6404041127400828,21.858334867294687,3.050985079521666e-88,0.05167828757871174
utility_pr,0.2391166598467163,0.4078017680945636,0.5863551327008186,20.01352987396158,4.933839024002425e-76,0.1473816823311025
loadout_value,243.21809023457254,324.99855103915195,0.7483666910418703,25.543323990115624,7.65062227026396e-114,0.2476791414809876
